job_title,company_name,location,salary,avg_salary
Data Scientist (Churn),ViaSat,"Tempe, AZ",,0.0
Sr Data Scientist (HCE),Honeywell,"Phoenix, AZ 85034 (Central City area)",,0.0
Data Scientist,Soaren Management LLC,"Phoenix, AZ 85050 (Desert View area)",,0.0
Research Scientist Intern,Imaging Endpoints,"Scottsdale, AZ",,0.0
Data Scientist/Statistician,Matrix Medical Network,"Scottsdale, AZ",,0.0
Data Scientist,Caris Life Sciences,"Phoenix, AZ 85040 (South Mountain area)",,0.0
Data Scientist,"Synchronoss Technologies, Inc.","Phoenix, AZ",,0.0
Data Scientist,Synchronoss,"Phoenix, AZ",,0.0
"Data Science Instructor, Sr Data Scientist",Galvanize,"Phoenix, AZ 85004 (Central City area)",,0.0
Data Scientist,Cyient,"Phoenix, AZ",,0.0
Entry Level - Procurement Agent,BOEING,"Mesa, AZ 85215 (Northeast area)",,0.0
Data Scientist,ON Semiconductor,"Phoenix, AZ 85008 (Camelback East area)",,0.0
Data Scientist - Aerospace,Honeywell,"Phoenix, AZ 85034 (Central City area)",,0.0
Data Scientist,"Synchronoss Technologies, Inc.","Phoenix, AZ",,0.0
Data Scientist,Synchronoss,"Phoenix, AZ",,0.0
ENVIRONMENTAL SCIENTIST - AIR,State of Arizona,"Phoenix, AZ 85007 (Central City area)","$67,000 - $72,000 a year",69500.0
"Analyst, Strategy and Research",Deloitte,"Phoenix, AZ 85012 (Alhambra area)",,0.0
Data Scientist,ON Semiconductor,"Phoenix, AZ 85008 (Camelback East area)",,0.0
Research Scientist,Intel,"Phoenix, AZ 85018 (Camelback East area)",,0.0
Data Scientist - Machine Learning and Algorithms,GoDaddy,"Gilbert, AZ",,0.0
"Scientist, Biomarker and Drug Intelligence",Caris Life Sciences,"Phoenix, AZ 85040 (South Mountain area)",,0.0
Supply Chain Data Analysis,WARE MANUFACTURING,"Phoenix, AZ 85009 (Estrella area)",,0.0
Planning and Research Analyst Sr,Maricopa County Community College District,"Glendale, AZ","$59,694 - $77,603 a year",68648.5
Transportation Student Intern,Stantec,"Phoenix, AZ",,0.0
Junior Research Analyst,Marcus & Millichap,"Phoenix, AZ 85016 (Camelback East area)",,0.0
Technical Innovator,W. L. Gore & Associates,"Phoenix, AZ",,0.0
Planning and Research Analyst (South Mountain Community College),Maricopa County Community College District,"Phoenix, AZ","$52,139 - $67,781 a year",59960.0
Associate Research Scientist I-III,Caris Life Sciences,"Phoenix, AZ 85040 (South Mountain area)",,0.0
Early Career Engineering Technical Specialist,BOEING,"Mesa, AZ 85215 (Northeast area)",,0.0
Data Scientist,Emailage,"Chandler, AZ",,0.0
Research/Remediation Analyst 4,Wells Fargo,"Chandler, AZ",,0.0
Research Analyst,CBRE,"Phoenix, AZ 85034 (Central City area)",,0.0
Planning Research Analyst (Open until filled),Maricopa County Community College District,"Phoenix, AZ","$52,139 - $67,781 a year",59960.0
COMPUTER SCIENTIST,US Department of the Navy,"Phoenix, AZ","$33,394 - $164,200 a year",98797.0
Medical Laboratory Scientist I - Micro,Sonora Quest Laboratories,"Phoenix, AZ",,0.0
